Top queries,5/31/26 - 6/6/26 Clicks,5/24/26 - 5/30/26 Clicks,5/31/26 - 6/6/26 Impressions,5/24/26 - 5/30/26 Impressions,5/31/26 - 6/6/26 CTR,5/24/26 - 5/30/26 CTR,5/31/26 - 6/6/26 Position,5/24/26 - 5/30/26 Position
appliance repair hamden,2,1,25,22,8%,4.55%,1.16,2.91
appliance repair,1,0,361,54,0.28%,0%,1.04,1.31
refrigerator repair near me,1,0,10,3,10%,0%,5.9,1
dishwasher repair near me,1,0,7,2,14.29%,0%,2.43,3.5
appliance repair hamden ct,1,0,7,3,14.29%,0%,4.14,5.67
appliance repair services,1,0,5,0,20%,0%,9,0
dryer repair near me,1,0,3,0,33.33%,0%,4.67,0
appliance repair new haven ct,1,0,2,0,50%,0%,1,0
free appliance repair estimate,1,0,2,0,50%,0%,9,0
refrigerator repair,0,0,286,1,0%,0%,1,1
appliance repair near me,0,0,173,20,0%,0%,1.26,2.7
washing machine repair,0,0,160,12,0%,0%,1,1
my appliance repair llc,0,0,15,22,0%,0%,5,3
clothes dryer repair,0,0,9,0,0%,0%,1,0
new haven appliance repair,0,0,8,10,0%,0%,1,1
washing machine repair near me,0,0,7,1,0%,0%,2.71,7
appliance repair north haven,0,0,5,0,0%,0%,1,0
dishwasher repair,0,1,4,2,0%,50%,3.5,1
kohler repair hamden ct,0,0,3,0,0%,0%,1,0
appliance installation near me,0,0,3,0,0%,0%,7.67,0
appliance repair bethel ct,0,0,2,0,0%,0%,1,0
appliance repair new haven,0,0,2,6,0%,0%,2.5,1.83
dryer repair,0,0,2,2,0%,0%,7.5,3
free appliance repair near me,0,0,2,0,0%,0%,9,0
refrigerator repair man near me,0,0,2,0,0%,0%,12,0
appliance care llc,0,0,1,0,0%,0%,1,0
appliance repair bethany,0,0,1,0,0%,0%,1,0
appliance repair north haven ct,0,0,1,0,0%,0%,1,0
appliance repair service,0,0,1,0,0%,0%,1,0
appliance repair services near me,0,0,1,0,0%,0%,1,0
appliance repairman near me,0,0,1,0,0%,0%,1,0
dish machine repair,0,0,1,0,0%,0%,1,0
frigidaire repair near me,0,0,1,0,0%,0%,1,0
gas appliance installation,0,0,1,0,0%,0%,1,0
ge washer repair near me,0,0,1,0,0%,0%,1,0
ice maker repair near me,0,0,1,0,0%,0%,1,0
local appliance repair,0,0,1,0,0%,0%,1,0
maytag repairman,0,0,1,0,0%,0%,1,0
oven repair,0,0,1,0,0%,0%,1,0
portable washing machine repair,0,0,1,0,0%,0%,1,0
pressure washer repair,0,0,1,0,0%,0%,1,0
refrigerator repair milford,0,0,1,0,0%,0%,1,0
repair service,0,0,1,0,0%,0%,1,0
reparador de lavadoras,0,0,1,0,0%,0%,1,0
washer and dryer repair near me,0,0,1,0,0%,0%,1,0
washing machine service,0,0,1,0,0%,0%,1,0
appliance repair llc,0,0,1,0,0%,0%,2,0
kitchenaid mixer repairs near me,0,0,1,0,0%,0%,2,0
my appliance repair,0,2,1,3,0%,66.67%,2,9.33
walk in refrigerator repair near me,0,0,1,0,0%,0%,2,0
kitchenaide repair,0,0,1,0,0%,0%,3,0
dryer repair new haven,0,0,1,0,0%,0%,4,0
local dishwasher installation,0,0,1,0,0%,0%,5,0
appliance repair wallingford,0,0,1,0,0%,0%,6,0
appliance tepair near me,0,0,1,0,0%,0%,6,0
washer repair near me,0,0,1,2,0%,0%,6,1.5
washer repair same day,0,0,1,0,0%,0%,6,0
refrigerator technician near me,0,0,1,0,0%,0%,9,0
kenmore fridge repair near me,0,0,1,0,0%,0%,10,0
appliance repair southington ct,0,0,1,0,0%,0%,17,0
washer repairman near me,0,0,1,0,0%,0%,20,0
washing machine repair tech,0,1,0,1,0%,100%,0,1
fridge repair,0,0,0,6,0%,0%,0,1
tv repair near me,0,0,0,3,0%,0%,0,10.33
dishwasher appliance repair near me,0,0,0,2,0%,0%,0,1
town appliance,0,0,0,2,0%,0%,0,1
tv repair company near me,0,0,0,2,0%,0%,0,2
dishwasher installation services,0,0,0,1,0%,0%,0,1
dishwasher repair service near me,0,0,0,1,0%,0%,0,1
fix it appliance repair,0,0,0,1,0%,0%,0,1
freezer repair service near me,0,0,0,1,0%,0%,0,1
lg dryer service near me,0,0,0,1,0%,0%,0,1
tv reapir,0,0,0,1,0%,0%,0,1
tv technician near me,0,0,0,1,0%,0%,0,1
washing machine repairman near me,0,0,0,1,0%,0%,0,1
north haven appliance repair,0,0,0,1,0%,0%,0,2
refrigerator fix near me,0,0,0,1,0%,0%,0,2
townappliance,0,0,0,1,0%,0%,0,2
freezer repair,0,0,0,1,0%,0%,0,3
clean dishwasher,0,0,0,1,0%,0%,0,4
how to clean dishwasher,0,0,0,1,0%,0%,0,4
washer fix near me,0,0,0,1,0%,0%,0,4
take my appliance,0,0,0,1,0%,0%,0,5
refrigerator repairman near me,0,0,0,1,0%,0%,0,6
hamden restoration services,0,0,0,1,0%,0%,0,11
my appliance reviews,0,0,0,1,0%,0%,0,14
home tv repair,0,0,0,1,0%,0%,0,41
